ISBN,abstract,documentType,year,id,type,title,status,datePublishing,journal,link,authors__id,authors__name
,"El control del avance de una obra es parte fundamental de la ejecución de cualquier proyecto. Los principales objetivos del control de obra son monitorear el cumplimiento en la ejecución de las actividades programadas; y, reprogramar aquellas actividades que no cumplen con dicha programación. Al controlar el avance de obra se puede cumplir con los objetivos planteados por el equipo técnico.\r\nActualmente, los métodos y técnicas para la realización del control de obra han mejorado de forma sustancial. Esto se debe principalmente a la automatización de ciertos procesos usados en el control  de obra y por la definición de las distintas variables que intervienen en el proceso constructivo. Una de las técnicas que permite determinar el comportamiento matemático de una variable dependiente en función de otra variable independiente es el análisis de series temporales. \r\nLas series temporales analizadas en esta investigación fueron elaboradas con coordenadas de posicionamiento GPS tomadas en el sitio de construcción y durante el tiempo en que se construyó la Central Hidroeléctrica. De acuerdo a Rodríguez y Mancebo (1999), las técnicas GPS pueden ser aplicadas en múltiples áreas como en el monitoreo y control de obras civiles, en la gestión ambiental, en la gestión de recursos hídricos, en la minería, en la agricultura, en la industria, en navegación aérea, en navegación marina, etc.",abstract_report,2017,7669,Latindex Catálogo,"Comportamiento matemático del avance de obra mediante análisis de series temporales de coordenadas GPS: central hidroeléctrica Delsitanisagua, Ecuador",Publicado,,,,1103042378,Serrano Agila Richard German
,"Introducción: este artículo tiene como propósito determinar las estrategias docentes utilizadas\r\npara promover el aprendizaje significativo del concepto de derivada en estudiantes de\r\nIngeniería. Para lo cual se fundamentó, teóricamente, en Ausubel (2002), Díaz y Hernández\r\n(2010), entre otros. Metodología: estuvo enmarcado en una metodología cuantitativa, siendo\r\nuna investigación descriptiva con un diseño transversal y de campo. Se consideró un censo\r\npoblacional de siete profesores que conforman la cátedra de Cálculo I de la Facultad de\r\nIngeniería de la Universidad del Zulia. La técnica de recolección de datos fue la encuesta y se\r\ndiseñó como instrumento a un cuestionario de 42 ítemes tipo Likert, con una confiabilidad alta\r\nde 0,899 según el método de Alfa Crombach. Para el análisis de los datos se utilizó la\r\nestadística descriptiva mediante medias aritméticas. Resultados: se obtuvo como resultados\r\nque los docentes utilizan con una mediana presencia las estrategias para promover el\r\naprendizaje significativo. Conclusiones: dado los resultados obtenidos se concluye que se\r\ndebe organizar estrategias didácticas para optimizar el desempeño docente, y reforzar sus\r\nherramientas de enseñanza, actualizar sus conocimientos, nivelarlos con los avances de las\r\nTIC y convertirlos en facilitadores eficientes que garanticen el aprendizaje significativo\r\nesperado en el área de estudio.",article,2017,7668,Latindex Catálogo,Las estrategias docentes y su implicación en el aprendizaje significativo del concepto de derivada en estudiantes de ingeniería,Publicado,01/04/2017,Rastros Rostros,https://revistas.ucc.edu.co/index.php/ra/article/view/2147/2201,1757827843,Delgado Fernández José Ramón
,"La investigación se basó en descubrir los conocimientos matemáticos de algunos docentes, referente a figuras geométricas planas. Si. El propósito de la misma fue analizar las representaciones y concepciones del docente, referentes a polígonos. Para abordar el estudio se utilizó la teoría de Jhonson-Laird ( 1996) sobre representaciones mentales; ésta considera tres tipos, como son: analógicas, proposicionales y modelos mentales. Conjuntamente con esta teoría se trabajó la teoría de Anna Sfard ( 1991) referente a  concepciones, en la misma se propone la existencia de concepciones de tipo operativa y estructurales. El trabajo se realizó en el Comedor- Escuela de la Fundación Niños del Sol en la Ciudad de Maracaibo. Este programa brinda atención escolar -alimentaria - psico social a menores trabajadores. Estamodalidad de educación es ofertada para que ellos accedan a la Educación Básica u otros niveles o grados del sistema educativo formal regular. El proceso para recabar los datos se basó en la observación sistemática de una lección, Quevedo (2005), la cual consiste en la observación y registro sistemático de los hechos. Se parte de la elaboración de una Ficha Didáctica, con la cual se recogen aspectos generales de la institución, datos académicos del docente, material por utilizar, recursos didácticos, intenciones pedagógicas y  desarrollo previsto para los contenidos. Además, se elaboró una crónica en vivo con aspectos relevantes\r\ny, un video de los hechos. Posteriormente se analizaron los resultados obtenidos a través de la crónica en vivo, la crónica del video y, la ficha de observación. Estos se contrastaron la teorla. Algunos de los avances revelaron que las concepciones de los docentes, generalmente, son de tipo operativas y sus representaciones son analógicas o proposicionales sin alcanzar los modelos mentales que le permitan hacer inferencias a otras situaciones, entre ellas elaborar estrategias de enseñanza innovadoras.",article,2013,7667,Latindex Catálogo,Los conocimientos geométricos de docentes en situaciones especiales de aula,Publicado,01/05/2013,,http://produccioncientificaluz.org/index.php/encuentro/article/view/1186,1757827843,Delgado Fernández José Ramón
,La,article,2015,7666,Artículos Publicados de Divulgación Nacional,R ERROR BORRAR,Aceptado,13/11/2015,,,1103121636,Tapia Chocho Wilson Eduardo
,,,,,,,,,,,1103987721,Pacají Ruiz Gabriela Michelle
,,,,,,,,,,,1103987721,Pacají Ruiz Gabriela Michelle
,"Trabajo de Investigación sobre comportamiento económico, específicamente sobre Factores Psicosociales y Consumismo. El objetivo del estudio fue conocer los factores psicosociales que provocan el consumismo en jóvenes universitarios de las Facultades de Psicología y Comunicación Social de la Universidad Central del Ecuador; como una forma de establecer una línea base para futuras investigaciones en el marco del trabajo que realiza el Observatorio del Comportamiento Económico y la Política Pública. El estudio tiene una metodología no experimental, de tipo descriptiva y de corte transversal. La información fue levantada en una muestra no probabilística de 300 estudiantes de las Facultades de Psicología y Comunicación Social de la Universidad Central del Ecuador. Los resultados de la investigación reflejan que los jóvenes universitarios no entran dentro de la categoría del consumismo, porque hay manifestaciones moderadas en su conducta económica evidenciando un buen nivel de planificación de sus compras; además se observa, que no hay mayormente niveles de influencia de la publicidad para comprar y catalogan al endeudamiento desde una posición de prudencia llevándolos a un consumo no impulsivo. El estudio concluye la necesidad e importancia de sostener esta actitud prudente ante el mercado con una fuerte formación o alfabetización en Ciudadanía Económica.",article,2018,7664,LILACS,Factores psicosociales que motivan el consumismo en los estudiantes universitarios de la Facultad de Comunicaciòn Social y Psicología de la Universidad Central del Ecuador,Aceptado,31/12/2018,Revista Científica Retos de la Ciencia,http://retosdelaciencia.com/Revistas/index.php/retos/article/view/234,1707028112,Torres Acosta Jorge Alonso Rodrigo
ISBN 978-9978-14-313-1,"La realidad de la parroquia de Chuquiribamba como Patrimonio Cultural de la Nación suscita desafíos que van más allá de la conservación de su estructura arquitectónica que se caracteriza por mantener de manera única su integridad y autenticidad. Sin embargo las nuevas expresiones arquitectónicas denominadas “modernas” son concebidas como sinónimo de progreso, a pesar de ser ajenas al entorno, pues rompen con el esquema formal de la arquitectura existente, provocando la pérdida de expresiones culturales, costumbres, medio ambiente y hasta de calidad de vida de esta comunidad. Ante esta realidad, el Instituto Nacional de Patrimonio Cultural - Regional 7 (INPC-R7), ha determinado la necesidad de fomentar acciones que permitan asumir estos desafíos, tomando como base dos hechos concretos: a) La pérdida de los saberes constructivos tradicionales con tierra; b) La necesidad de conservar un elemento religioso y de valor simbólico para la comunidad, la Capilla del Barrio El Calvario. Consecuentemente es necesaria la revitalización de las manifestaciones y conocimientos vinculados a la construcción tradicional como la formación de mano de obra capacitada, a partir de la implantación de talleres de capacitación e intercambio de experiencias entre técnicos, maestros constructores y jóvenes aprendices de los oficios relacionados con el manejo de materiales y sistemas constructivos con tierra, sustentadas en la participación comunitaria a través de mingas. Esta experiencia ha permitido promover la recuperación de la memoria social, el oficio y los conocimientos asociados a los sistemas y materiales constructivos tradicionales del sector, así como la apropiación de lugares simbólicos, el fortalecimiento de una identidad local, el sentido que compromete y obliga a conservar los valores que lo conforman, los cuales serán evidentes en acciones que permitan el mantenimiento, la nueva edificación y las buenas prácticas en el patrimonio cultural edificado en la región.",article,2015,7663,Artículos Publicados de Divulgación Internacional,"Recuperación de Técnicas Constructivas Tradicionales de la Parroquia Chuquiribamba, Ecuador",Publicado,09/11/2015,,https://dialnet.unirioja.es/servlet/articulo?codigo=6086011,1103987721,Pacají Ruiz Gabriela Michelle
,,,,,,,,,,,1103121636,Tapia Chocho Wilson Eduardo
,xx,other,2015,7662,ISI,Error - Eliminar,Aceptado,,,,1103987721,Pacají Ruiz Gabriela Michelle
,"The main objective of this study is to spread the religious poetry that write Father Theophilus Gaivao Mier during the different stages of his life through poems Message of Peace, Children’s Christmas, Sacred tenths and Joys to the Virgin of Montserrat. This literary work intends to express the historical, theological and motivational events that inspire to the priest for write in each one of his poetics. Based on the methodological design, this article responds to the research line of the career of Social Commu- nication with mention in Production Audiovisual and Multimedia of the Salesian Polytechnic University: Communication, Culture and multiculturalism, theoretical studies and practical experiences. The study on the Religious Poetry of Father Theophilus Gaivao Mier Theophilus as a vehicle of social communica- tion is undertaken from the qualitative paradigm and quantitative paradigm. The sample selected is 68 lay people and people of the consecrated life of the Catholic Church. The survey was used a quantitative method to determine the unfamiliarity in religious poetry. The scope of this research study is exploratory. It propose to the respondents to read religious poetry and 90% responded affirmatively. Therefore the cause of why is not being read it is because it is not broadcast. Nowadays there are people eager to know and discover the poetry with vallenato music composition of Father Theophilus Gaivao Mier as a vehicle for social communication.\r\n",article,2016,7661,Artículos Publicados de Divulgación Nacional,Poesía religiosa del padre Teófilo Gaivao Mier como vehículo de la comunicación social,Publicado,30/12/2016,"Universitas, Revista de Ciencias Sociales y Humanas de la Universidad Politécnica Salesiana del Ecuador,",https://doi.org/http://doi.org/10.17163/uni.n25.2016.04,911026680,Velez Montesdeoca Eric Emiro
,"EL DIVORCIO DE LOS PADRES PUEDE SER UNA EXPERIENCIA MUY DOLOROSA E INCLUSIVE DE TIPO TRAUMÁTICA, TANTO LA PAREJA COMO LOS HIJOS EN COMÚN EXPERIMENTAN MUCHO SUFRIMIENTO POR LOS CAMBIOS QUE SUPONE LA RUPTURA POTENCIAL DEL CONTACTO, RELACIÓN Y VÍNCULO.",article_in_press,2019,7660,Artículos Publicados de Divulgación Nacional,¿QUÉ ES LA TERAPIA FAMILIAR Y CÓMO PUEDE AYUDAR A ENFRENTAR EL DIVORCIO?,Publicado,18/02/2019,Dialoguemos,https://laconversacion.net/2019/02/que-es-la-terapia-familiar-y-como-puede-\r\nayudar-a-enfrentar-un-divorcio/,104661905,Vásquez Escandón Adrián Felipe
,"In Ecuador, the sectorial policies, public policies and state investment, increase the presence of polarized and polycentric territories with very heterogeneous characteristics and with asymmetric levels of economic growth and development. The explanation for the unequal growth of regions in Ecuador is determined by the existence of different types of asymmetries; that determine economic dynamics and non-convergent development processes. The aim of this research is to determine the effect of an increase in public spending on physical infrastructure and education, on the improvement of productive conditions and on the process of reducing disparities (convergence) at the regional level in Ecuador. To do this, the hypothesis of beta convergence will be tested, which is conditioned by the proxy variables of public expenditure or investment in infrastructure and education at provincial level, for the 2001–2015 period. The results show the existence of a ""slight"" process of convergence per capita and productivity, although with a significant level of territorial ""segregation"". In the same way, it is observed that public investment made in this period did not increase the productivity of small and medium-sized provinces significantly, severely conditioning the sustainability of the process of reducing disparities at regional level.",article,2019,7659,ISI,Spatial Economic Convergence and Public Expenditure in Ecuador,Publicado,23/01/2019,Symmetry,https://doi.org/10.3390/sym11020130,1104636004,Flores Chamba Jorge Eduardo
,,,,,,,,,,,1102755558,Correa Quezada Ronny Fabian
,"Este trabajo consiste en contar y mostrar al Fanzine como un recurso de aprendizaje en el aula\r\nque tiene como objetivo generar un mayor acercamiento a la lectura y escritura de textos informativos y\r\nliterarios. La propuesta consiste en dar a conocer el concepto principal del Fanzine, de sus alcances y\r\nmostrar dos experiencias pedagógicas llevada a cabo en la asignatura de Redacción y Comprensión\r\nLectora de la Universidad Técnica Particular de Loja. Con esta herramienta, los estudiantes pusieron en\r\npráctica el contenido esencial de la asignatura sumado con elementos personales y creativos provenientes\r\nde su propia experiencia",article,2019,7658,Latindex Catálogo,El Fanzine en el aula: una propuesta didáctica para leer y escribir historias,Publicado,,,https://drive.google.com/open?id=1AYPwiPunBTDNh4cy_kb4BzvDVQB5vRZy,1714546312,Guayasamin Mogrovejo Mateo Nicolas
,"En este ensayo analizamos la divergencia que existe entre los avances normativos que protegen a las mujeres en Ecuador y los grandes retos del país para proteger efectivamente los derechos de las mujeres. Aunque en materia normativa se ha avanzado en la protección de los derechos de las mujeres, la necesidad de mejorar la implementación de las políticas públicas y de propiciar un cambio cultural es innegable. Aquí presentamos información sucinta sobre normativa, políticas públicas e indicadores de derechos, e intentamos reflexionar sobre los retos de la protección estatal y cambio cultural a tenor de las recomendaciones del Comité del CEDAW.",article,2019,7656,Latindex Directorio,"LOS DERECHOS DE LAS MUJERES EN ECUADOR. NORMATIVA, POLÍTICAS Y CAMBIO CULTURAL",Aceptado,02/03/2019,Novedades Jurídicas,aún no está en línea,1103798904,Celi Toledo Israel Patricio
,,,,,,,,,,,AAA982494,Verdu Delgado Ana Dolores
,"La  metodología  de  la  enseñanza  de  inglés  como  lengua  extranjera  (EFL)  ha  cambiado gradualmente de enfoques pasivos centrados en el docente a enfoques cada vez más activos y centrados en el alumno. En la década de 1950, el método de “Grammar Translation” consistía en que los estudiantes traducían textos del inglés a su lengua materna y viceversa, mientras se enfocaban en construcciones gramaticales. En las clases, había mucha lectura y escritura individual, en silencio, y muy poco se enfatizaba en hablar, escuchar y pronunciar.Este  método  produjo  estudiantes  que  sabían  mucho  sobre  gramática,  pero  no  podían mantener una conversación simple. Luego vino el método audio-lingual, que se enfocaba en escuchar, hablar y pronunciar, pero de una manera pasiva, monótona y repetitiva, que hacía que    los    estudiantes    simplemente    repitieran    los    diálogos    palabra    por    palabra, memorizándolos. Este método produjo estudiantes que solo podían conversar en contextos muy específicos.",article,2018,7655,Artículos Publicados de Divulgación Nacional,El aprendizaje activo para las clases de inglés como lengua extranjera,Publicado,,Cuaderno de Política Educativa3,http://repositorio.unae.edu.ec/bitstream/123456789/451/1/Cuaderno%20de%20Pol%C3%ADtica%20Educativa%203.pdf,1104464274,Sarango Solano Fernanda Elizabeth
978-84-09-00790-5,"Las organizaciones forman parte de la sociedad, por lo tanto, se articulan a un sistema dinámico y estructuralmente variable. La planificación estratégica en todos los escenarios es fundamental. Generalmente las organizaciones suelen prever la administración de sus recursos con base a sus objetivos, pero suelen descuidar aspectos básicos de toda relación social y de interacción con el entorno, la comunicación. \r\n\r\nLa crisis es una situación que pone en riesgo la imagen y reputación de una organización y que llega sin previo aviso. Como consecuencia de la crisis, la imagen de muchas organizaciones se ha visto afectada sin considerar que una sólida reputación corporativa es el mejor intangible para afrontar una situación difícil. Conscientes de estos aspectos, la investigación que aquí se presenta, tiene como objetivo conocer las acciones que ejecutan los gestores de comunicación de las compañías del país en torno a la comunicación preventiva. \r\n\r\nA través de una encuesta, se logró recoger información de 293 gerentes y DIRCOM de instituciones privadas del Ecuador. El instrumento fue trabajado en tres segmentos: Comunicación preventiva, Gestión de crisis: interna – externa – online, y Post-crisis. Entre los principales resultados se evidencia que las empresas ecuatorianas no están preparadas para actuar comunicacional ni tácticamente frente a una situación de crisis. \r\n",article,2018,7654,Latindex Catálogo,Comunicación preventiva  y de crisis en las instituciones privadas del Ecuador,Publicado,22/03/2018,Actas del III Simposio Internacional sobre Gestión de la Comunicación. La Innovación de la Innovación: Del Medio al Contenido Predictivo,https://doi.org/ ISBN: 978-84-09-00790-5,1103142129,Paladines Galarza Fanny Yolanda
,,,,,,,,,,,1103777163,Altamirano Benitez Veronica Paulina
,,,,,,,,,,,1103142129,Paladines Galarza Fanny Yolanda
,,,,,,,,,,,1102853783,Puertas Hidalgo Rosario Johanna
,"Introduction: obesity is the prelude to Chronic No communicable diseases; their\r\ndevelopment at an early age endangers the general population.\r\nObjective: identify predisposing factors for the development of overweight and\r\nobesity in students from state schools of Canton Loja, Ecuador.\r\nMaterial and methods: a cross-sectional study was conducted with 1337 students of\r\n11-17 years in schools-Canton Loja, the body mass index was determined; the results\r\nare presented in tables.\r\nResults: overweight was present in 30.77%, obesity 12% mostly in females and in\r\nurban population, among the predisposing factors are family history, eating fast food\r\nand little physical activity.\r\nConclusions: more than quarters of students wereoverweight or obese and are\r\nexposed to factors modifiable and non-modifiable risks.\r\n",article,2016,7652,Artículos Publicados de Divulgación Internacional,Factores que predisponen al sobrepeso y obesidad en estudiantes de colegios fiscales del Cantón Loja-Ecuador,Publicado,06/05/2016,Revista Habanera de Ciencias Médicas,http://www.revhabanera.sld.cu/index.php/rhab/article/view/1152,1102954805,Cambizaca Mora Grace Del Pilar
,,,,,,,,,,,1102954805,Cambizaca Mora Grace Del Pilar
,"Introduction: Since the 90's, diabetes mellitus type 2 was already a concern,\r\ngetting stronger with the appearance of the disease in child and adolescent\r\npopulations.\r\nObjectives: Systematize the published information on overweight, obesity and\r\ndiabetes mellitus type 2 in children and adolescents in Latin America, during\r\n2000­ 2010 from articles and the strategies implemented to promote health.\r\nMethods: A descriptive study was conducted, revising the literature in indexed\r\njournals studies on overweight, obesity and diabetes mellitus type 2 in\r\nadolescents in Latin America and the Caribbean from 2000 to 2010. Data were\r\ncompiled on promotion health strategies which have been developed by\r\ngovernmental and non­governmental organizations on diabetes and obesity. This\r\nsearch for information was carried out in EBSCO, LILACS, and BVS Google\r\nScholar; Journals consulted were Scielo, ALAD, WHO and PAHO newsletters.\r\nResults: 23 studies were found, 16 of them were conducted in different\r\ncountries and the remaining 7 dealt with information systematization on\r\noverweight, obesity and diabetes mellitus type 2 in adolescents.\r\nConclusions: All articles reviewed notes the increase in the prevalence of\r\noverweight, obesity and diabetes mellitus type 2 in children and adolescent\r\npopulations, the trend is higher in females. Genetics, poor eating habits, little\r\nphysical exercise, and sedentary lifestyle are considered among the risk factors\r\nattributable to these health problems. Strategies for health promotion developed\r\nin the decade under study are observed, planning its components are proposed\r\nin the letter of Ottawa.\r\n",article,2019,7651,Artículos Publicados de Divulgación Internacional,"Sobrepeso, obesidad y diabetes mellitus 2 en adolescentes de América Latina en 2000­2010",Publicado,14/02/2019,Revista Cubana de Medicina General Integral,http://www.revmgi.sld.cu/index.php/mgi/rt/printerFriendly/15/11,1102954805,Cambizaca Mora Grace Del Pilar
,"El  CEO  (líder)  es  hoy  más  que  nunca,  el reflejo  de  la  reputación  empresarial  frente a los stakeholders. \r\nLa  gestión  del  compromiso  del  empleado o employee   engagement,  es  una práctica y   trabajo   estratégico   de   la   comunicación interna, que desde hace varias décadas se ha estudiado e implementado en Estados Unidos y  algunos  países  europeos,  sin  embargo,  en  Latinoamérica  este  tema  apenas  empieza  a  abordarse hace pocos años.\r\n",article,2018,7650,Artículos Publicados de Divulgación Nacional,El liderazgo empresarial y la gestión de empoyee engagement,Publicado,01/12/2018,Anuario de Comunicación Interna,http://dialogusci.com/wp-content/uploads/2018/09/anuario-comunicacion-interna-DialogusCI.pdf,1104049042,Duque Rengel Vanessa Karina
